,Date,pAgro,pConsump,pFincial,pIndus,pResourc,pService,pTech,pPropcon,oAgro,oConsump,oFincial,oIndus,oResourc,oService,oTech,oPropcon,hAgro,hConsump,hFincial,hIndus,hResourc,hService,hTech,hPropcon,lAgro,lConsump,lFincial,lIndus,lResourc,lService,lTech,lPropcon,c%Agro,c%Consump,c%Fincial,c%Indus,c%Resourc,c%Service,c%Tech,c%Propcon,vmAgro,vmConsump,vmFincial,vmIndus,vmResourc,vmService,vmTech,vmPropcon,pSET,oSET,hSET,lSET,c%SET,vmSET,pSTARK,oSTARK,hSTARK,lSTARK,c%STARK,vmSTARK,flucAgro,flucConsump,flucFincial,flucIndus,flucResourc,flucService,flucTech,flucPropcon,flucSTARK
0,06/30/2023,391.82,57.84,148.31,90.45,186.58,471.4,274.12,104.25,391.38,57.44,146.31,89.99,185.19,466.61,271.43,103.03,394.04,57.84,148.62,91.17,187.52,472.44,275.1,104.52,390.73,57.26,146.07,89.8,184.59,466.36,269.03,103.03,0.62%,1.08%,1.74%,1.40%,2.06%,1.54%,1.21%,1.76%,0.23667,0.04701,1.09,0.11826,0.69158,0.69941,0.39021,1.12,"1,503.10","1,488.86","1,506.19","1,487.74",1.59%,15290.0,0.02,0.02,0.03,0.02,0.00%,1140.0,0.85,1.01,1.75,1.53,1.59,1.3,2.26,1.45,50.0
1,06/29/2023,389.41,57.22,145.77,89.2,182.81,464.23,270.83,102.45,385.72,56.79,144.27,87.5,178.98,462.6,271.87,102.32,392.94,57.52,146.86,89.79,183.56,467.92,275.99,103.22,384.32,56.75,144.03,86.89,178.17,461.28,268.02,102.02,1.24%,0.60%,0.75%,2.08%,2.64%,0.40%,-0.53%,0.20%,0.21455,0.04637,1.62,0.13569,0.70054,0.76992,0.29647,0.55977,"1,479.57","1,468.00","1,490.71","1,461.61",0.86%,16070.0,0.02,0.02,0.03,0.01,0.00%,471.15,2.24,1.36,1.96,3.34,3.03,1.44,2.97,1.18,200.0
2,06/28/2023,384.65,56.88,144.68,87.38,178.1,462.37,272.27,102.25,387.25,57.83,147.41,88.27,179.27,467.44,276.43,102.9,387.93,57.89,147.51,88.68,180.38,467.88,277.39,103.27,383.19,56.82,144.59,87.13,177.16,461.72,271.45,102.23,-0.35%,-1.68%,-1.89%,-0.85%,-0.24%,-0.64%,-0.92%,-0.29%,0.2055,0.05034,1.27,0.13606,0.57923,0.77254,0.2798,0.57275,"1,466.93","1,483.32","1,485.89","1,465.45",-0.76%,14020.0,0.02,0.02,0.02,0.01,0.00%,225.76,1.24,1.88,2.02,1.78,1.82,1.33,2.19,1.02,100.0
3,06/27/2023,386.02,57.85,147.47,88.13,178.52,465.33,274.81,102.55,389.59,57.86,148.33,89.37,180.53,468.19,274.87,103.28,390.89,58.32,148.86,89.43,181.21,470.34,278.72,103.85,386.02,57.54,147.44,88.12,178.52,465.33,273.25,102.55,-0.89%,-0.22%,-0.43%,-1.07%,-1.01%,-0.65%,0.63%,-0.30%,0.235,0.06315,0.66051,0.08538,0.32152,0.56741,0.22904,0.47178,"1,478.10","1,488.17","1,495.67","1,478.10",-0.49%,11430.0,0.02,0.02,0.03,0.02,-33.33%,61.99,1.26,1.36,0.96,1.49,1.51,1.08,2.0,1.27,50.0
4,06/26/2023,389.5,57.98,148.1,89.08,180.35,468.38,273.1,102.86,397.2,59.81,149.53,91.4,183.14,471.21,278.81,103.6,397.61,59.81,149.84,91.75,183.92,472.89,279.46,103.97,389.5,57.78,147.7,89.02,179.81,467.3,272.32,102.78,-1.94%,-2.99%,-1.04%,-2.48%,-1.78%,-0.57%,-2.20%,-0.77%,0.23762,0.07938,1.02,0.11206,0.43817,0.69687,0.35466,0.80827,"1,485.32","1,504.27","1,507.63","1,483.92",-1.34%,12440.0,0.03,0.02,0.03,0.02,50.00%,162.59,2.08,3.51,1.45,3.07,2.29,1.2,2.62,1.16,50.0
5,06/23/2023,397.22,59.77,149.65,91.35,183.62,471.06,279.24,103.66,401.54,59.87,149.64,91.16,181.9,473.92,276.6,104.07,401.97,60.0,150.13,92.07,184.24,474.03,280.07,104.16,397.22,59.43,148.79,90.79,180.94,469.35,275.21,103.41,-1.35%,-0.68%,-0.07%,-0.16%,0.44%,-0.78%,0.45%,-0.79%,0.18115,0.05492,0.60322,0.07391,0.2914,0.73333,0.3412,0.53609,"1,505.52","1,504.50","1,510.42","1,495.82",-0.25%,11570.0,0.02,0.02,0.03,0.02,-33.33%,524.19,1.2,0.96,0.9,1.41,1.82,1.0,1.77,0.73,50.0
6,06/22/2023,402.65,60.18,149.76,91.5,182.82,474.78,277.98,104.49,406.64,60.88,150.93,92.0,185.23,478.21,282.95,105.02,406.94,60.96,151.31,92.32,185.78,478.6,283.04,105.15,400.86,60.0,149.59,91.06,181.71,473.2,276.37,104.16,-0.96%,-1.00%,-0.93%,-0.57%,-1.05%,-0.68%,-1.19%,-0.31%,0.16749,0.12959,0.57043,0.11728,0.46252,0.66006,0.64183,0.77494,"1,509.31","1,524.35","1,525.26","1,506.09",-0.84%,13500.0,0.03,0.03,0.03,0.02,0.00%,226.09,1.52,1.6,1.15,1.38,2.24,1.14,2.41,0.95,50.0
7,06/21/2023,406.56,60.79,151.17,92.02,184.76,478.05,281.32,104.81,411.1,61.69,151.27,93.71,187.17,481.46,280.45,106.6,411.26,61.89,151.74,93.82,187.55,482.31,283.41,106.87,405.06,60.79,150.66,91.69,184.13,475.98,277.39,104.81,-1.09%,-1.54%,-0.14%,-2.18%,-1.34%,-0.75%,-0.65%,-2.08%,0.26212,0.04646,0.82424,0.13208,0.40691,0.61177,0.28501,0.69006,"1,522.12","1,533.87","1,534.73","1,517.51",-1.01%,13170.0,0.03,0.01,0.03,0.01,0.00%,1160.0,1.53,1.81,0.72,2.32,1.86,1.33,2.17,1.97,200.0
8,06/20/2023,411.04,61.74,151.38,94.07,187.26,481.68,283.15,107.04,414.32,61.89,152.64,93.85,187.3,483.31,287.77,107.07,414.56,62.04,153.58,94.74,188.82,485.01,291.7,107.53,411.04,61.44,151.12,93.43,186.56,480.23,276.74,106.8,-0.50%,-0.15%,-0.42%,0.70%,0.41%,0.15%,-8.37%,0.52%,0.22082,0.03734,1.24,0.13086,0.42803,0.63162,0.28512,0.60441,"1,537.59","1,545.43","1,550.46","1,532.96",-1.24%,15250.0,0.03,0.03,0.04,0.03,-40.00%,70.65,0.86,0.98,1.63,1.4,1.21,1.0,5.41,0.68,33.33
9,06/19/2023,413.1,61.83,152.02,93.42,186.5,480.98,309.02,106.49,414.26,61.76,152.13,93.46,187.81,482.62,301.53,106.5,414.68,62.19,152.53,94.1,188.23,483.57,312.0,107.22,412.51,61.55,151.27,93.1,186.26,480.66,300.52,106.14,-0.43%,-0.26%,-0.31%,-0.11%,-1.01%,-0.52%,2.31%,-0.94%,0.2233,0.03816,0.52803,0.09235,0.3054,0.49889,0.26713,0.58994,"1,556.92","1,554.81","1,562.36","1,550.75",-0.16%,12120.0,0.05,0.05,0.06,0.05,-37.50%,71.37,0.53,1.04,0.83,1.07,1.06,0.61,3.82,1.02,20.0
10,06/16/2023,414.87,61.99,152.49,93.52,188.4,483.51,302.03,107.5,415.58,62.01,152.7,94.14,187.35,485.7,304.71,107.48,417.09,62.32,152.99,94.81,189.05,487.05,307.26,107.97,410.82,61.71,151.17,92.83,186.55,480.15,297.59,107.0,-0.15%,0.37%,0.21%,-0.57%,1.12%,-0.31%,-0.18%,-0.01%,0.42782,0.03336,0.67807,0.14427,0.58221,0.74336,0.33124,0.65114,"1,559.39","1,562.67","1,567.97","1,546.48",0.11%,15650.0,0.08,0.09,0.1,0.07,-11.11%,278.71,1.53,0.99,1.2,2.13,1.34,1.44,3.25,0.91,42.86
11,06/15/2023,415.48,61.76,152.17,94.06,186.31,485.0,302.57,107.51,419.61,62.63,154.8,94.99,188.16,485.96,292.48,108.87,420.14,62.79,154.85,95.31,189.2,488.25,304.93,109.09,414.95,61.76,152.07,93.66,185.87,483.54,291.39,107.19,-0.84%,-1.26%,-1.73%,-1.17%,-0.94%,-0.26%,3.67%,-1.27%,0.28426,0.04112,0.75609,0.10615,0.36341,0.89411,0.34336,0.60355,"1,557.71","1,561.47","1,566.14","1,555.54",-0.22%,12890.0,0.09,0.1,0.11,0.09,-10.00%,90.41,1.25,1.67,1.83,1.76,1.79,0.97,4.65,1.77,22.22
12,06/14/2023,418.99,62.55,154.85,95.17,188.07,486.25,291.85,108.89,418.61,62.59,155.54,94.96,188.25,489.45,292.96,108.93,420.86,62.74,155.62,95.57,189.05,490.01,294.12,109.32,418.2,62.32,154.65,94.32,187.95,485.37,289.85,108.65,0.51%,0.30%,-0.25%,1.05%,-0.12%,-0.42%,-0.01%,0.15%,0.24485,0.03365,0.59778,0.10546,0.31993,0.9398,0.24452,0.74819,"1,561.15","1,566.54","1,569.06","1,559.89",-0.08%,12.74,0.1,0.1,0.12,0.09,0.00%,338.43,0.64,0.67,0.63,1.33,0.59,0.96,1.47,0.62,33.33
13,06/13/2023,416.88,62.36,155.24,94.18,188.29,488.32,291.87,108.73,414.93,62.46,154.66,92.87,186.83,486.37,289.5,108.15,418.48,62.54,155.73,94.55,189.03,490.18,292.95,109.0,414.49,62.11,154.49,92.36,186.15,485.75,289.16,108.13,0.52%,0.14%,0.41%,1.51%,0.71%,0.57%,1.19%,0.62%,0.25335,0.02346,0.48263,0.11604,0.39164,1.09,0.24515,0.76618,"1,562.40","1,553.11","1,566.26","1,552.30",0.71%,11710.0,0.1,0.1,0.1,0.09,0.00%,163.96,0.96,0.69,0.8,2.37,1.55,0.91,1.31,0.8,11.11
14,06/12/2023,414.71,62.27,154.6,92.78,186.97,485.56,288.44,108.06,412.79,62.5,155.29,92.42,187.1,486.4,286.85,107.92,415.65,62.54,155.29,92.97,188.19,486.98,290.07,108.25,412.24,62.09,154.25,92.03,186.5,483.49,286.85,107.57,0.41%,-0.29%,-0.63%,0.10%,-0.72%,-0.18%,0.09%,0.05%,0.2465,0.02412,0.90553,0.06636,0.26196,0.68225,0.22888,0.47614,"1,551.41","1,551.12","1,555.89","1,547.46",-0.24%,11310.0,0.1,0.11,0.12,0.09,-9.09%,1120.0,0.83,0.72,0.67,1.02,0.91,0.72,1.12,0.63,33.33
15,06/09/2023,413.02,62.45,155.58,92.69,188.33,486.44,288.18,108.01,415.96,62.68,155.22,93.21,188.32,485.38,291.95,108.6,416.23,62.71,156.08,93.33,188.94,487.15,292.91,108.6,411.92,62.18,154.94,91.97,186.77,482.69,287.6,107.82,-0.62%,-0.38%,0.19%,-0.52%,-0.01%,0.49%,-1.99%,-0.47%,0.22067,0.02765,0.70093,0.10353,0.43517,0.91374,0.30563,0.61658,"1,555.11","1,558.94","1,559.43","1,549.57",-0.28%,12300.0,0.11,0.13,0.14,0.11,-21.43%,1120.0,1.05,0.85,0.74,1.48,1.16,0.92,1.85,0.72,27.27
16,06/08/2023,415.61,62.69,155.29,93.17,188.35,484.07,294.04,108.52,410.03,62.23,152.94,91.13,183.81,478.06,288.6,107.08,415.86,62.72,155.29,93.33,188.35,484.07,294.1,108.52,408.65,62.05,152.5,90.48,183.32,476.59,286.27,106.82,1.50%,0.84%,1.52%,2.41%,2.59%,1.25%,1.83%,1.32%,0.27545,0.02427,0.68646,0.30061,0.6944,0.85548,0.26931,0.82471,"1,559.50","1,533.56","1,559.50","1,530.55",1.71%,13840.0,0.14,0.16,0.16,0.13,-6.67%,598.51,1.76,1.08,1.83,3.15,2.74,1.57,2.74,1.59,23.08
17,06/07/2023,409.45,62.17,152.97,90.98,183.59,478.11,288.76,107.11,408.31,62.6,153.52,91.15,181.45,479.45,289.74,106.46,409.79,62.8,153.65,91.7,183.59,480.26,290.87,107.11,405.16,62.1,151.61,90.03,180.76,474.54,287.38,106.27,0.37%,-0.50%,-0.17%,0.13%,1.17%,-0.15%,0.19%,0.73%,0.2565,0.04418,0.7559,0.12812,0.40678,0.82036,0.47272,0.79696,"1,533.21","1,531.30","1,534.69","1,522.30",0.31%,14350.0,0.15,0.18,0.2,0.15,-16.67%,1110.0,1.14,1.13,1.35,1.85,1.57,1.21,1.21,0.79,33.33
18,06/06/2023,407.95,62.48,153.23,90.86,181.47,478.81,288.21,106.33,408.79,62.71,155.02,92.22,183.54,481.16,287.53,106.5,409.51,62.92,155.02,92.47,183.87,481.49,290.58,106.71,404.87,62.28,153.07,90.41,180.86,477.57,286.31,106.21,-0.16%,0.10%,-0.78%,-1.00%,-0.32%,-0.40%,0.99%,0.14%,0.22551,0.03362,0.91631,0.07109,0.44248,1.28,0.19553,0.43018,"1,528.54","1,537.62","1,539.49","1,526.93",-0.17%,13760.0,0.18,0.18,0.21,0.17,-18.18%,1010.0,1.15,1.03,1.27,2.28,1.66,0.82,1.49,0.47,23.53
19,06/05/2023,408.59,62.42,154.43,91.78,182.05,480.73,285.39,106.18,406.27,62.63,153.0,90.76,180.94,481.55,285.3,106.43,408.71,62.74,154.72,92.26,183.07,482.73,287.16,106.64,404.2,62.15,152.6,90.5,180.75,479.01,284.12,106.02,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17831,0.03392,0.99786,0.07997,0.41448,0.66675,0.25219,0.42251,"1,531.20","1,526.87","1,534.49","1,524.52",0.64%,16220.0,0.22,0.17,0.23,0.14,22.22%,2300.0,1.12,0.95,1.39,1.94,1.28,0.78,1.07,0.58,64.29
20,06/02/2023,408.59,62.42,154.43,91.78,182.05,480.73,285.39,106.18,406.27,62.63,153.0,90.76,180.94,481.55,285.3,106.43,408.71,62.74,154.72,92.26,183.07,482.73,287.16,106.64,404.2,62.15,152.6,90.5,180.75,479.01,284.12,106.02,0.72%,-0.10%,1.32%,1.64%,1.21%,-0.08%,0.71%,-0.04%,0.17831,0.03392,0.99786,0.07997,0.41448,0.66675,0.25219,0.42251,"1,531.20","1,526.87","1,534.49","1,524.52",0.64%,16220.0,0.18,0.25,0.34,0.13,-92.44%,4900.0,1.12,0.95,1.39,1.94,1.28,0.78,1.07,0.58,161.54
21,06/01/2023,405.68,62.48,152.42,90.3,179.87,481.12,283.37,106.22,408.31,63.18,152.82,91.05,182.78,484.48,286.74,106.51,408.92,63.43,153.13,91.47,183.13,484.92,288.84,106.77,404.02,62.34,152.04,90.02,179.74,480.4,283.37,106.01,-0.33%,-0.60%,-0.12%,-0.50%,-1.54%,-0.82%,-1.19%,-0.23%,0.20136,0.06147,0.94367,0.109,0.31969,1.42,0.24103,0.61893,"1,521.40","1,534.16","1,536.76","1,521.31",-0.79%,19370.0,2.38,2.4,2.44,2.38,0.00%,31.92,1.21,1.75,0.72,1.61,1.89,0.94,1.93,0.72,2.52
22,05/31/2023,407.04,62.86,152.6,90.75,182.69,485.11,286.78,106.46,403.77,62.76,151.38,91.38,182.94,483.39,280.58,106.71,408.18,63.04,153.56,91.55,183.59,485.11,286.78,106.98,403.02,62.46,151.28,90.28,182.06,480.41,279.03,106.23,0.54%,0.22%,0.17%,-1.35%,-1.05%,0.00%,1.30%,-0.66%,0.50423,0.05468,0.91136,0.1341,0.61666,1.4,0.55681,0.76309,"1,533.54","1,525.58","1,533.54","1,521.33",-0.08%,15330.0,2.38,2.4,2.42,2.32,-0.83%,41.15,1.28,0.93,1.51,1.41,0.84,0.98,2.78,0.71,4.31
23,05/30/2023,404.85,62.72,152.34,91.99,184.63,485.1,283.1,107.17,409.56,62.06,152.7,91.84,186.63,486.27,284.34,108.22,409.92,62.95,153.16,92.21,186.95,487.29,284.8,108.38,404.42,62.04,152.01,91.27,184.2,483.07,281.83,106.84,-1.04%,1.52%,-0.20%,0.21%,-1.01%,-0.06%,0.09%,-1.01%,0.18641,0.08213,0.80067,0.10502,0.32695,1.04,0.24363,0.70694,"1,534.81","1,543.30","1,545.55","1,531.30",-0.40%,13290.0,2.4,2.44,2.48,2.36,-3.23%,99.73,1.36,1.47,0.76,1.03,1.49,0.87,1.05,1.44,5.08
24,05/29/2023,409.11,61.78,152.64,91.8,186.51,485.4,282.84,108.26,410.41,62.13,152.03,91.76,186.35,483.56,280.41,107.67,411.84,62.34,152.99,92.2,187.24,486.45,283.68,108.26,407.33,61.75,151.8,91.29,185.79,483.37,280.08,107.47,-0.34%,-0.39%,0.66%,0.49%,0.34%,0.56%,1.83%,0.68%,0.20562,0.05249,0.41633,0.08872,0.37123,1.01,0.31275,1.15,"1,540.97","1,535.63","1,543.11","1,535.63",0.66%,11960.0,2.48,2.58,2.6,2.46,-3.88%,83.02,1.11,0.96,0.78,1.0,0.78,0.64,1.29,0.74,5.69
25,05/26/2023,410.49,62.02,151.64,91.35,185.88,482.72,277.75,107.53,411.27,62.28,151.76,91.35,186.92,482.24,278.72,107.41,412.39,62.37,152.23,91.94,187.21,484.21,281.04,107.7,409.53,61.83,151.05,90.87,185.27,480.97,276.92,107.11,-0.22%,-0.40%,-0.18%,-0.13%,-0.68%,-0.15%,-0.43%,-0.06%,0.17489,0.04197,0.59967,0.10859,0.33872,1.17,0.29506,0.36106,"1,530.84","1,533.18","1,536.08","1,527.59",-0.30%,10660.0,2.58,2.62,2.64,2.56,-1.53%,41.89,0.7,0.87,0.78,1.18,1.05,0.67,1.49,0.55,3.13
26,05/25/2023,411.4,62.27,151.92,91.47,187.15,483.46,278.96,107.59,409.9,63.1,152.21,93.32,188.36,485.69,274.28,107.9,412.52,63.1,152.36,93.58,189.19,486.42,281.32,108.04,407.13,62.2,150.92,91.08,186.96,482.05,274.21,107.25,0.64%,-0.94%,-0.31%,-2.53%,-0.78%,-0.58%,2.88%,-0.43%,0.20022,0.08681,0.9632,0.16016,0.38118,0.64932,0.35337,0.55133,"1,535.42","1,537.55","1,541.06","1,529.64",-0.07%,13130.0,2.62,2.66,2.7,2.6,-1.50%,46.16,1.32,1.45,0.95,2.74,1.19,0.91,2.59,0.74,3.85
27,05/24/2023,408.77,62.86,152.39,93.84,188.63,486.27,271.16,108.06,410.15,62.39,151.55,94.07,188.09,484.78,268.7,107.53,411.85,63.26,153.35,94.47,189.85,488.32,272.89,108.35,408.25,62.22,151.28,93.34,188.05,483.37,268.66,107.41,-0.30%,1.14%,0.32%,-0.61%,0.19%,0.24%,0.03%,-0.05%,0.3096,0.11539,0.74378,0.1043,0.41919,0.74783,0.21507,0.54022,"1,536.51","1,530.61","1,542.89","1,529.65",0.11%,12.61,2.66,2.6,2.74,2.58,2.31%,77.04,0.88,1.67,1.37,1.21,0.96,1.02,1.57,0.88,6.2
28,05/23/2023,409.98,62.15,151.91,94.42,188.27,485.09,271.09,108.11,403.04,61.1,149.27,92.91,186.78,483.34,276.5,106.92,410.44,62.15,152.06,94.74,188.27,486.48,276.77,108.29,401.24,60.91,149.07,92.9,185.91,480.94,267.72,106.79,1.88%,1.94%,1.58%,0.97%,0.70%,0.10%,-2.17%,0.81%,0.23517,0.05305,1.24,0.08276,0.55557,0.84715,0.28942,0.5602,"1,534.84","1,526.15","1,536.59","1,518.38",0.37%,15180.0,2.6,2.6,2.62,2.56,0.00%,45.95,2.29,2.04,2.01,1.98,1.27,1.15,3.38,1.4,2.34
29,05/22/2023,402.43,60.97,149.54,93.51,186.97,484.61,277.1,107.24,395.95,60.59,149.09,91.94,184.54,475.68,267.48,106.51,403.06,60.97,149.86,93.52,187.75,485.37,277.88,107.24,391.46,59.68,146.96,90.65,182.4,471.28,264.65,105.21,1.19%,0.38%,-0.23%,1.40%,0.70%,1.22%,2.73%,-0.18%,0.25012,0.05335,0.79862,0.11641,0.69977,1.06,0.35119,1.01,"1,529.24","1,505.21","1,531.01","1,491.12",0.95%,18040.0,2.6,2.6,2.64,2.56,0.78%,40.14,2.96,2.16,1.97,3.17,2.93,2.99,5.0,1.93,3.13
30,05/19/2023,397.69,60.74,149.89,92.22,185.67,478.75,269.74,107.43,399.44,60.99,150.61,93.3,188.8,484.79,270.82,107.95,399.9,61.13,150.86,93.58,188.83,485.85,271.63,108.16,396.29,60.22,149.43,91.67,185.58,478.52,268.14,107.11,-0.38%,-0.26%,-0.35%,-1.27%,-1.17%,-1.38%,0.02%,-0.36%,0.1754,0.08581,0.84535,0.13091,0.75219,1.08,0.36786,0.80975,"1,514.89","1,529.15","1,530.47","1,512.66",-0.77%,15030.0,2.58,2.6,2.68,2.52,-0.77%,115.47,0.91,1.51,0.96,2.08,1.75,1.53,1.3,0.98,6.35
31,05/18/2023,399.22,60.9,150.41,93.41,187.86,485.44,269.68,107.82,399.71,61.02,150.99,94.65,189.52,489.19,264.59,108.33,402.77,61.25,151.89,95.13,190.97,490.32,273.82,108.51,398.93,60.69,150.41,93.35,187.86,485.09,264.33,107.56,0.47%,0.40%,0.23%,-0.51%,-0.15%,-0.47%,2.56%,0.03%,0.19645,0.0762,0.66919,0.10913,0.51199,1.07,0.35877,0.78296,"1,526.69","1,531.15","1,541.06","1,526.69",0.26%,15580.0,2.6,2.74,2.76,2.58,-5.11%,93.97,0.96,0.92,0.98,1.91,1.66,1.08,3.59,0.88,6.98
32,05/17/2023,397.36,60.66,150.06,93.89,188.14,487.72,262.96,107.79,404.39,61.18,151.75,95.74,190.66,493.49,264.93,109.06,405.14,61.4,151.81,95.88,191.4,494.21,267.1,109.24,396.58,60.58,149.72,93.32,187.31,484.45,260.5,107.41,-1.31%,-0.46%,-1.16%,-2.04%,-1.30%,-1.18%,-0.15%,-1.27%,0.23966,0.03109,0.80152,0.11692,0.56332,0.95621,0.30521,0.86756,"1,522.74","1,541.29","1,543.63","1,517.21",-1.11%,14470.0,2.74,2.78,2.84,2.72,-1.44%,44.9,2.16,1.35,1.4,2.74,2.18,2.01,2.53,1.7,4.41
33,05/16/2023,402.64,60.94,151.82,95.85,190.61,493.54,263.35,109.18,400.76,60.63,152.19,96.08,189.82,495.51,263.33,109.63,403.92,61.23,152.69,96.19,192.0,497.02,265.7,109.77,399.19,60.38,150.79,95.22,188.98,492.36,262.6,108.96,0.51%,0.11%,-0.41%,-0.10%,0.58%,-0.45%,-0.23%,-0.26%,0.2026,0.03024,0.79888,0.10082,0.55406,0.79921,0.34716,1.03,"1,539.84","1,541.11","1,545.74","1,536.36",-0.10%,14920.0,2.78,2.8,2.82,2.74,-1.42%,46.14,1.18,1.41,1.26,1.02,1.6,0.95,1.18,0.74,2.92
34,05/15/2023,400.58,60.87,152.45,95.95,189.52,495.75,263.97,109.47,407.54,62.27,153.72,97.69,195.49,504.92,268.14,111.38,408.04,62.31,153.72,97.96,195.49,505.05,268.14,111.38,399.21,60.53,151.53,95.63,188.59,493.91,262.52,109.18,-1.32%,-1.73%,-0.07%,-1.28%,-2.65%,-1.35%,-0.61%,-1.07%,0.22976,0.03485,0.94275,0.09466,0.70287,0.86857,0.72949,1.21,"1,541.38","1,570.62","1,570.62","1,536.82",-1.28%,18090.0,2.82,2.86,2.86,2.76,-2.08%,93.02,2.21,2.94,1.45,2.44,3.66,2.26,2.14,2.02,3.62
35,05/12/2023,405.95,61.94,152.56,97.19,194.67,502.53,265.6,110.65,406.58,61.95,152.68,97.78,195.54,504.77,265.1,111.03,407.4,62.17,153.05,98.09,195.98,506.02,266.58,111.1,402.41,61.47,151.48,96.12,192.77,498.48,261.29,109.77,-0.20%,-0.26%,-0.46%,-0.64%,-0.40%,-0.47%,-0.16%,-0.34%,0.32743,0.04091,0.80531,0.10947,0.6192,0.86851,0.56077,0.92886,"1,561.35","1,565.66","1,567.81","1,548.03",-0.39%,16070.0,2.88,2.96,2.98,2.86,-2.04%,57.76,1.24,1.14,1.04,2.05,1.67,1.51,2.02,1.21,4.2
36,05/11/2023,406.78,62.1,153.27,97.82,195.45,504.9,266.02,111.03,405.11,62.67,152.86,98.85,196.03,504.15,270.65,110.93,408.46,62.67,153.52,99.07,197.41,506.45,270.92,111.35,404.34,61.89,152.52,97.43,195.23,502.19,265.49,110.46,0.50%,-0.91%,0.05%,-1.42%,-0.09%,0.39%,-1.20%,-0.13%,0.24593,0.05445,0.83615,0.10594,0.66123,0.82689,0.36254,0.6327,"1,567.40","1,571.21","1,576.59","1,564.78",-0.14%,13230.0,2.94,3.0,3.02,2.92,-2.00%,57.34,1.02,1.26,0.66,1.68,1.12,0.85,2.05,0.81,3.42
37,05/10/2023,404.74,62.67,153.2,99.23,195.63,502.94,269.26,111.18,403.63,62.43,151.37,98.25,194.86,501.22,269.52,110.88,404.98,62.67,153.62,99.48,196.27,503.68,270.4,111.36,401.84,62.25,151.31,98.22,194.54,498.77,265.99,110.61,0.22%,0.30%,1.23%,0.61%,0.33%,0.19%,-0.18%,-0.09%,0.18837,0.04472,0.83177,0.08574,0.42308,0.58243,0.31656,0.67752,"1,569.56","1,562.66","1,570.85","1,557.68",0.31%,11750.0,3.0,2.98,3.02,2.94,1.35%,54.07,0.78,0.67,1.53,1.28,0.89,0.98,1.66,0.68,2.72
38,05/09/2023,403.84,62.48,151.34,98.63,194.99,501.97,269.75,111.28,401.55,62.02,150.22,98.53,194.86,501.12,270.89,111.03,405.09,62.67,151.84,99.2,195.87,503.9,272.02,111.39,398.25,61.96,149.75,98.21,193.68,498.8,266.73,110.76,0.53%,0.99%,0.67%,0.10%,0.24%,0.25%,-0.55%,-0.25%,0.22967,0.03653,0.77857,0.08201,0.52273,0.6637,0.19211,0.75216,"1,564.66","1,561.76","1,569.74","1,554.68",0.15%,12530.0,2.96,3.02,3.02,2.96,-1.33%,33.3,1.72,1.15,1.4,1.01,1.13,1.02,1.98,0.57,2.03
39,05/08/2023,401.72,61.87,150.33,98.53,194.53,500.7,271.25,111.56,395.48,61.46,148.64,97.43,191.98,496.87,264.91,109.72,402.4,62.0,150.33,98.81,194.77,501.0,271.25,111.56,394.86,61.18,147.75,96.94,191.02,494.95,263.2,109.53,1.83%,0.83%,1.89%,1.33%,2.09%,1.18%,3.16%,1.94%,0.22561,0.02274,0.85849,0.08864,0.43218,0.6696,0.2522,0.56642,"1,562.25","1,541.51","1,562.25","1,537.46",1.89%,11800.0,3.0,3.04,3.04,3.0,-1.32%,24.08,1.91,1.34,1.75,1.93,1.96,1.22,3.06,1.85,1.33
40,05/03/2023,394.49,61.36,147.54,97.24,190.55,494.87,262.93,109.44,389.66,60.79,145.85,96.28,190.34,490.83,260.32,108.39,394.95,61.36,147.6,97.51,190.86,495.56,263.25,109.52,386.05,60.23,144.7,95.25,187.25,487.38,256.69,107.6,0.48%,0.67%,0.99%,0.15%,-0.60%,0.63%,0.07%,0.63%,0.27319,0.02889,1.01,0.14857,0.59925,0.69103,0.22305,0.73398,"1,533.30","1,521.17","1,533.90","1,507.22",0.32%,15640.0,3.04,2.98,3.04,2.98,2.01%,55.07,2.31,1.88,2.0,2.37,1.93,1.68,2.56,1.78,2.01
41,05/02/2023,392.62,60.95,146.09,97.09,191.7,491.78,262.74,108.76,397.47,61.47,146.77,97.7,192.77,493.46,259.49,108.87,398.8,61.88,146.8,97.99,193.13,494.78,263.69,108.92,390.28,60.44,144.93,96.09,190.99,488.55,257.66,108.15,-1.34%,-1.33%,-0.40%,-0.53%,-0.13%,-0.29%,1.80%,-0.06%,0.22937,0.04814,0.56574,0.1165,0.38561,0.65873,0.20411,0.67308,"1,528.43","1,531.92","1,535.35","1,517.98",-0.05%,12870.0,2.98,3.0,3.02,2.94,-0.67%,75.79,2.18,2.38,1.29,1.98,1.12,1.28,2.34,0.71,2.72
